dataset,encoder,classifier,n_train,n_val,n_test,val_macro_f1,val_accuracy,test_macro_f1,test_accuracy,test_f1_ham,test_f1_spam,test_f1_smishing,fit_time_s,predict_time_s
MetaSMS,tfidf,svm,363891,45486,45487,0.8452908848862727,0.958360814316493,0.8412903616908599,0.9568228285004506,0.9929432402620704,0.6988546255506608,0.8320732192598488,29.601176850963384,0.1533778994344175
MetaSMS,tfidf,logreg,363891,45486,45487,0.8336897682080332,0.9509959108297058,0.830278120617657,0.9489524479521622,0.9887117483415364,0.6898222940226171,0.8123003194888179,52.03995084669441,0.1678027636371553
MetaSMS,bow,logreg,363891,45486,45487,0.8320956266149783,0.9531724046959504,0.8255188022136396,0.9511728625761208,0.9915964148254692,0.6726170427753453,0.8123429490401045,86.98485674383119,0.2017856682650745
MetaSMS,bow,svm,363891,45486,45487,0.8278638539746566,0.9533922525612276,0.8243107958440904,0.9518543759755534,0.991616734645073,0.6656129258868985,0.8157027270002997,609.6147439465858,0.1412312150932848
MetaSMS,tfidf,rf,363891,45486,45487,0.8114279459533118,0.9491491887613772,0.8121787085922693,0.9490843537714072,0.9897194772075232,0.6357044875563395,0.8111121610129453,248.31392274424437,0.5890088710002601
MetaSMS,bow,rf,363891,45486,45487,0.8018507901451303,0.9447082618827772,0.804621648119383,0.9449513047683954,0.987619478686866,0.622213897733658,0.8040315679376248,239.83552003046495,0.8074824931100011
MetaSMS,fasttext,rf,363891,45486,45487,0.7933886004140028,0.946379105658884,0.7997031831994454,0.947435531030844,0.9899105374400148,0.6000822030415125,0.8091168091168092,101.28925166418776,0.4312841799110174
MetaSMS,w2v,rf,363891,45486,45487,0.790840885209954,0.9455656685573584,0.7909002672771358,0.945237100710093,0.9893604271808462,0.5800336983993261,0.8033066762512355,52.4691955614835,0.4185650120489299
MetaSMS,bow,nb,363891,45486,45487,0.7844486372424178,0.9366618300136306,0.7839302163607478,0.9360256776661464,0.9871077206717344,0.6088348271446863,0.7558481012658228,13.505922073498368,0.1384155512787401
MetaSMS,tfidf,nb,363891,45486,45487,0.7760152712916949,0.943367189904586,0.7725623055431541,0.9421592982610416,0.9882527644453872,0.5337704918032787,0.7956636603807962,13.559893568046393,0.1388050587847829
MetaSMS,w2v,svm,363891,45486,45487,0.7218692899696199,0.9146110891263246,0.7216874077293642,0.9152724954382572,0.9761246881455052,0.4518413597733711,0.7370961752692164,60.22035947814584,0.1595643479377031
MetaSMS,w2v,logreg,363891,45486,45487,0.7083710802811716,0.8924943938794354,0.7093113281081739,0.8930903335018796,0.9655765685805968,0.4774011299435028,0.6849562858004221,45.863689178135246,0.146665783599019
MetaSMS,fasttext,svm,363891,45486,45487,0.7022623596683216,0.9106318427648068,0.7004037507947759,0.9099303097588322,0.9750663556663718,0.4138311568879897,0.7123137398299662,112.62710844259708,0.1578886290080845
MetaSMS,fasttext,logreg,363891,45486,45487,0.7039270061407432,0.8912852306204107,0.6991881236287218,0.889309033350188,0.964394487769568,0.4648397104446742,0.6683301726719233,93.56426949612796,0.1599322231486439
MetaSMS,fasttext,nb,363891,45486,45487,0.6080695971440038,0.8595391988743789,0.6106530397095826,0.8603117374194825,0.9628669649678052,0.4390605162928481,0.4300316378680944,83.01922404346988,0.19157161610201
MetaSMS,w2v,nb,363891,45486,45487,0.6066314843908657,0.8581321725366047,0.6097897470270593,0.8598720513553323,0.9617291348877752,0.4419354838709677,0.4257046223224351,50.10947923595086,0.1922460966743528
